PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
849000,2,800.0,6.0,3.0
6500000,2,,4.0,5.0
560000,3,550.0,4.0,3.0
1100000,1,890.0,4.0,0.0
2649000,5,4050.0,3.0,2.0
849000,2,800.0,6.0,3.0
418888,2,900.0,6.0,3.0
2600000,3,3978.0,3.0,4.0
899000,8,2160.0,11.0,4.0
979000,8,2860.0,3.0,4.0
199000,1,,8.0,3.0
815000,3,,4.0,5.0
1025000,1,800.0,4.0,0.0
1375000,1,920.0,4.0,0.0
875000,3,1437.0,4.0,0.0
1350000,6,3000.0,3.0,4.0
989000,7,,3.0,5.0
815156,4,2945.0,2.0,4.0
1949000,3,2560.0,3.0,4.0
669000,5,1893.0,10.0,4.0
900500,4,,3.0,4.0
1465000,3,,4.0,3.0
899000,3,1100.0,4.0,5.0
1100000,1,726.0,4.0,0.0
1199000,6,,10.0,4.0
325000,2,,4.0,5.0
599000,4,1176.0,4.0,4.0
1230000,4,,10.0,4.0
3950000,3,,4.0,3.0
2147483647,7,10000.0,2.0,1.0
1350000,10,3383.0,3.0,4.0
799000,5,1800.0,3.0,1.0
1599000,5,5600.0,2.0,1.0
1299900,4,2755.0,2.0,1.0
370000,1,,6.0,3.0
3225,3,,4.0,5.0
3649000,3,,4.0,3.0
860000,5,2324.0,3.0,4.0
765000,3,2205.0,2.0,1.0
259000,1,750.0,6.0,3.0
1500000,8,3135.0,3.0,4.0
850000,2,1005.0,4.0,0.0
2494,2,,4.0,5.0
99000,1,,6.0,0.0
535000,1,750.0,6.0,3.0
849998,4,2342.0,2.0,4.0
1100000,2,,4.0,5.0
998000,5,1574.0,10.0,4.0
1500000,3,,3.0,4.0
875000,6,2860.0,11.0,4.0
2350000,1,1144.0,1.0,0.0
850000,5,1908.0,11.0,4.0
4000000,3,2248.0,4.0,5.0
1200000,3,,4.0,3.0
12000000,4,3809.0,1.0,0.0
1300000,2,,4.0,3.0
799000,3,585.0,4.0,5.0
339000,3,250.0,4.0,3.0
875000,7,2680.0,11.0,4.0
799000,7,2296.0,11.0,4.0
799000,7,2296.0,11.0,4.0
285000,2,1380.0,10.0,1.0
2499000,5,1340.0,3.0,4.0
795000,4,1440.0,1.0,2.0
1799995,2,,4.0,3.0
250000,3,1224.0,10.0,1.0
5999000,3,3000.0,4.0,5.0
668000,3,1606.0,10.0,9.0
699900,3,1470.0,2.0,1.0
5295000,4,4600.0,3.0,2.0
2265000,2,1123.0,4.0,0.0
459000,2,950.0,8.0,3.0
1369000,4,2900.0,2.0,4.0
879000,4,,10.0,1.0
559000,1,679.0,0.0,0.0
869888,4,,10.0,4.0
799888,3,,10.0,1.0
749000,4,1040.0,2.0,1.0
499000,2,,10.0,1.0
1295000,3,2193.0,4.0,1.0
879900,3,2242.0,2.0,9.0
400000,2,1150.0,11.0,3.0
699999,6,,11.0,4.0
289000,1,666.0,6.0,0.0
699000,1,616.0,6.0,0.0
5800,3,,6.0,7.0
479000,6,3100.0,2.0,8.0
1355000,2,1002.0,6.0,0.0
1225000,2,882.0,6.0,0.0
9999000,4,4531.0,4.0,8.0
